time,network_bandwidth,network_latency,quality,bitrate,download_size,download_time,buffer_level,rebuffer_time,is_bola
0,1255,98,0,230,0,0,0,0,False
804,1255,98,0,230,886360,804,3000,0,False
3102,1255,98,4,991,2760272,2297,3702,0,False
4987,1255,98,4,991,2243080,1885,4817,0,False
8088,1255,98,4,991,3768472,3100,4716,0,False
10269,1255,98,4,991,2614184,2181,5535,0,False
12387,1255,98,4,991,2535760,2118,6416,0,False
15000,1255,98,4,991,3162196,2613,0,0,False
15646,1255,98,0,230,687488,645,3000,645,False
17994,1255,98,3,688,2823608,2347,3652,0,False
20007,1255,98,4,991,2403848,2013,4638,0,False
22412,1255,98,4,991,2894792,2404,5234,0,False
25031,1255,98,4,991,3164568,2619,5614,0,False
27490,1255,98,4,991,2963000,2458,6155,0,False
29843,1255,98,4,991,2829328,2352,6803,0,False
30847,3775,202,4,991,3132408,1004,8798,0,False
31840,3775,202,4,991,2984888,992,10806,0,False
33017,3775,202,5,1427,3683304,1177,12628,0,True
34313,3775,202,5,1427,4128760,1295,14332,0,True
36354,3775,202,6,2056,6942520,2041,15291,0,True
38543,3775,202,7,2962,7500528,2188,16102,0,True
40000,3775,202,7,2962,5145687,1457,14000,0,True
42215,3775,202,6,2056,7598696,2214,14785,0,True
44133,3775,202,6,2056,6479152,1918,15866,0,True
45697,3775,202,6,2056,5142544,1564,17302,0,True
47951,3775,202,7,2962,7744672,2253,18048,0,True
50891,3775,202,7,2962,10336808,2940,18108,0,True
53351,3775,202,7,2962,8523464,2459,18648,0,True
56071,3775,202,7,2962,9503272,2719,18929,0,True
61336,2354,63,8,5027,14645992,5265,16664,0,True
65357,2354,63,7,2962,9316528,4020,15643,0,True
67928,2354,63,6,2056,5904856,2571,16071,0,True
70983,2354,63,6,2056,7043424,3055,16016,0,True
73401,2354,63,6,2056,5542176,2417,16599,0,True
77349,2354,63,7,2962,9146064,3948,15651,0,True
79757,2354,63,6,2056,5521280,2408,16242,0,True
84454,2354,63,7,2962,10907888,4696,14545,0,True
